,rating,text,date
10,1,"I just ran to the theater coz of the hype that was created of Prabhas due to Bahubali. Booked 400 rs recliner tkt, just to dose off in theater.I used to fall asleep and then fight with myself to keep my eyes open so as to get the return of my investment.God he cant speak even a single line in hindi. It seemed that he was drunk throughout the movie. Creators should have used bahubali sound artist for hindi dubbing.Movie was very confusing didn't know what was going on in the beginning, in one frame they r showing some gangsters doing their stuff other frame they r showing some other thief stealing money in India.Action sequences were good,but some basic stuffs were completely illogical,for example-no one in police Deptt. checks for a new officers identity for a month to know who he actually was.I m thinking, I should also become a fake wing commander and join airforce. Then I dont understand y will anyone,throw parachute bag and then jump without the bag,just to show how macho he is.All the gangsters have got nothing to do apart from gossiping with chunky pandey. U can just watch this on laptop where u can fast forward it to the action scenes,rest of the movie is too boring and lengthy.","Sep 4, 2019"
11,9,"SAAHO is a fantastic experience. Never seen action scenes on indian screen, perfect movie for prabhas. Screenplay is superb, BGM is mind blowing. Everyone did good in their respective roles. Go without any expectations and i am sure you will come out of movie with a great experience.Its an intelligent action thriller.....#Saaho","Aug 29, 2019"
12,6,"First I'll say it's Inspired/Copied by Largo Winch a French Movie. Then I'll start with Prabhas the lead actor, he is performance is Great as we know he tried hindi you can see his hard work in his performance. His real voice is good (with strong tough voice). Story revolves around the chair of Mafia of the cit.
Graphics are good but not great it reminds me of android game Modern Combact the Helicopter and the smoke, blast. With the power-pack action movie serves the decent watch to me. Seriously some action sequences are indigestible like if you capture a criminal then cops check them if they have any arms left in pocket then how cops left the mobile phone of criminal in his pocket ok let's leave this, second if you was shot by bullet in your shoulder then how you'll fight there are some scenes too but leave. People will say its a movies boss and in movie everything is OK. First half makes you excited for 2nd half and it was good too.
In theater everyone was talking about the length of the movie but its ok. Director tried to brief out everything clearly so its ok. Song makes movie long. I personally like 2nd half where it reveals every twist parts and if I'll talk about action scenes then I'll say it's taken from many Many other movies like MadMax, F&F and some. Overall its ok worth watch if you like Prabhas that's it. Bit Gripping, full of Action, twist and ya bit confusing too. People will give mix reviews so don't go with reviews go and watch its not like you should watch right wait when the ticket price drops then go. I'll give 6 stars just for story and Prabhas and villains.. Greats performances by all but only performances can't save the movie.
Watch if like action/Prabhas or South Movies. - itsbymayank Mayank Bharat Bhushan Louteriya. Saaho Reveiw Done.
Do like down the review. Thank you all.","Aug 31, 2019"
13,1,,"Sep 10, 2019"
14,1,"Sbse ghatiya aur boring movie
shradha kapoor plz leave acting yr Final words Worst movie of the year Never watch it yaar plzzz Have some mercy on urself","Aug 31, 2019"
15,1,The name should not be saaho but saho.....saho for 3 hrs.....Ram Gopal Verma ki Aag isse jyada achchi hai,"Aug 30, 2019"
16,6,Saaho's pioneering attempts in stunt sequences and graphics are praiseworthy. However the story misses to naturally engage the audience.,"Aug 3, 2021"
17,1,Really bad story and prabas and shradha aren't suitable for this movie and still surprise that this movie has this much only because of some people who doesn't know anything about how a good movie looks like,"Aug 30, 2019"
18,10,If you're the fan of action thrillers that you can watch them multiple times then this movie is gonna run you theatres 10 times or more.Basics;Action+Suspense+Love Story+ Amazing BGM+ Perfect VFX+ Songs+ Prabhas = Marvelous Saaho.Bonus;Shraddha Kapoor has given an extraordinary performance and improved a lot. She performed every shades perfectly. She's doing very well now.,"Aug 29, 2019"
19,7,Story feel was missing due to bad narrative and bad background music. As heard we see twists every 10 minutes and twists before intermission and climax are the best ones. VFX and stunts are never seen before even in Hollywood and are a must see. Mixing scenes is one of the biggest mistake which confuses often.,"Sep 7, 2019"
20,1,"Would rate it 0.. if i had the option...
The movie was such headache to watch.","Aug 30, 2019"
21,8,"This movie isn't favorable for Sentiment Movie Lovers, To be frank story must have to be Improvised, Action, Cinematography, VFX are excellent. Shraddha Kapoor disappoints with her pale acting, Prabhas acting is Extraordinary, Neil Nitin Mukesh acting is Good. Mandira Bedi is totally a Scrap. Overall it's a One-time watchable. Sujit must have to concentrate on story line and screenplay. Overall it's a visual treat for people","Aug 29, 2019"
22,6,"Watch on your risk
Time and money wasted
Prabhas only saving grace, movie is watched not tolerated in theatre, but this movie sucks big time","Aug 30, 2019"
23,1,No common sense. Hopeless acting. Worst direction and cheap Stunts. Cheeee,"Aug 30, 2019"
24,1,,"Jul 24, 2020"
